SourceFile,FileName,Make,Model,Orientation,FNumber,ExposureProgram,ExposureTime,ISO,ApertureValue,Flash,FocalLength,DigitalZoomRatio,SceneCaptureType,ImageWidth,ImageHeight
./S20 2 Wide/20221024_142608(0).jpg,20221024_142608(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142544.jpg,20221024_142544.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142550.jpg,20221024_142550.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142604(0).jpg,20221024_142604(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142632.jpg,20221024_142632.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142626.jpg,20221024_142626.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142603.jpg,20221024_142603.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142617.jpg,20221024_142617.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142625(0).jpg,20221024_142625(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142549.jpg,20221024_142549.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142601(0).jpg,20221024_142601(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142548.jpg,20221024_142548.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142613(0).jpg,20221024_142613(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142616.jpg,20221024_142616.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142602.jpg,20221024_142602.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142628.jpg,20221024_142628.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142614.jpg,20221024_142614.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142600.jpg,20221024_142600.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142557(0).jpg,20221024_142557(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142545(0).jpg,20221024_142545(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142601.jpg,20221024_142601.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142615.jpg,20221024_142615.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142629.jpg,20221024_142629.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142611.jpg,20221024_142611.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142605.jpg,20221024_142605.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142639.jpg,20221024_142639.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142547(0).jpg,20221024_142547(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142559(0).jpg,20221024_142559(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142555(0).jpg,20221024_142555(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142638.jpg,20221024_142638.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142604.jpg,20221024_142604.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142610.jpg,20221024_142610.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142606.jpg,20221024_142606.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142612.jpg,20221024_142612.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142635(0).jpg,20221024_142635(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142558.jpg,20221024_142558.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
